"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WP_002558051.1",0,NA,NA,NA,NA,NA
"WP_002558052.1",24.0217643613328,2.74151107862543,0.993370681526933,2.75980671627171,0.00578355681612532,0.0698123504013127
"WP_002558067.1",226.023372921891,1.54069900405025,0.618616736541212,2.49055499640142,0.0127543754796858,0.108995356237905
"WP_002558075.1",90.9203729254981,1.16674377934095,0.751707529432355,1.55212464111142,0.12063240303815,0.401230851436876
"WP_002558082.1",150.355174778858,2.01965314267486,0.789736273992009,2.55737669547049,0.010546494058963,0.0998470368915548
"WP_002558090.1",21.9605621463344,0.63815219788076,0.901031119245974,0.708246568015095,0.478792151978857,0.76457010702893
"WP_002558131.1",89.8969497113341,1.35400033239263,1.07500116459957,1.25953382840937,0.207837579459198,0.523115089220934
"WP_002559159.1",71.6094378051336,-0.472078645808434,0.780550952444167,-0.604801831744868,0.545310676408217,0.806825857790912
"WP_002561104.1",14.7616890262563,0.233583391330348,0.974356834480263,0.239730849175954,0.810538918003933,0.931428498793095
"WP_002561589.1",460.543394888417,0.269498866643953,0.642797928754403,0.419259077524069,0.675026800520299,0.876224503802808
"WP_002562387.1",17.8056728231565,1.46304878356006,0.970614553283708,1.50734272282482,0.131722832050675,0.420881314489945
"WP_004289233.1",10.8104887843409,0.60943181925751,1.08781697739265,0.560233781897977,0.57531998747365,0.824674730492816
"WP_004289235.1",0.929035003168759,0.353961163350195,2.19790827157554,0.161044556739606,0.872058307419616,NA
"WP_004291965.1",108.306241525447,0.469011571095386,0.599915911281355,0.781795518798007,0.434334755035679,0.738853661384828
"WP_004292399.1",0,NA,NA,NA,NA,NA
"WP_004292400.1",0,NA,NA,NA,NA,NA
"WP_004293827.1",37.2622579479906,-0.483282486552045,0.780951002513987,-0.618838422636366,0.536022807482971,0.801586638853155
"WP_004293828.1",11.5365440715544,-0.0090604659069164,1.04023576223408,-0.00871001193754148,0.993050503820525,0.995732604739267
"WP_004295270.1",0,NA,NA,NA,NA,NA
"WP_004295275.1",0,NA,NA,NA,NA,NA
"WP_004295276.1",0,NA,NA,NA,NA,NA
"WP_004295279.1",0,NA,NA,NA,NA,NA
"WP_004295281.1",0,NA,NA,NA,NA,NA
"WP_004295282.1",0,NA,NA,NA,NA,NA
"WP_004295283.1",0,NA,NA,NA,NA,NA
"WP_004295284.1",0,NA,NA,NA,NA,NA
"WP_004295287.1",0,NA,NA,NA,NA,NA
"WP_004295292.1",0,NA,NA,NA,NA,NA
"WP_004295300.1",0,NA,NA,NA,NA,NA
"WP_004295301.1",0,NA,NA,NA,NA,NA
"WP_004295303.1",0,NA,NA,NA,NA,NA
"WP_004295307.1",0,NA,NA,NA,NA,NA
"WP_004295308.1",0,NA,NA,NA,NA,NA
"WP_004295309.1",0,NA,NA,NA,NA,NA
"WP_004295311.1",0,NA,NA,NA,NA,NA
"WP_004295313.1",0,NA,NA,NA,NA,NA
"WP_004295314.1",0,NA,NA,NA,NA,NA
"WP_004295758.1",17.8008470365419,0.13531329356176,0.975780071972174,0.138671917421182,0.889709410306293,0.964989951949581
"WP_004296327.1",205.13410328446,1.55818843462512,0.659535078194017,2.36255581566921,0.0181494081822993,0.135512462639487
"WP_004296328.1",190.150766486127,2.40756915636056,0.665781858648646,3.61615313647516,0.000299013526577288,0.00993815151178182
"WP_004296340.1",105.051046119955,1.79923198134604,0.720766484737315,2.49627586665849,0.0125504954521818,0.107570370783937
"WP_004296344.1",143.550776189936,1.56080649254922,0.67971980446667,2.29624984043812,0.0216616002857195,0.151213628982481
"WP_004296362.1",259.04313371582,2.37606206193049,0.837693972959485,2.8364320845429,0.00456206799320063,0.0617584625060852
"WP_004296363.1",63.9591783660683,2.33494670151364,0.974047515889086,2.39715893057061,0.0165227553229677,0.127643792455033
"WP_004296542.1",0,NA,NA,NA,NA,NA
"WP_004297160.1",101.104150783029,1.52641388965195,0.817516442347877,1.86713540007605,0.0618826819963714,0.287264028002285
"WP_004297164.1",101.500954285261,0.311875410442012,0.628904096038055,0.495902972180898,0.619962869083796,0.850394143814279
"WP_004297539.1",22.5748263376041,0.577990190591588,0.891350585350628,0.648443160402734,0.51669836251624,0.789074937379836
"WP_004297540.1",39.2142174178187,0.670885693684837,0.719498914598429,0.932434615359046,0.351111962609575,0.676760715688581
"WP_004297763.1",0.355053075332692,-0.265579273259344,3.57951633135915,-0.0741941783957452,0.940855878052691,NA
"WP_004297787.1",0.462117037252175,0.0478396631436987,3.25935321222245,0.0146776553594443,0.988289345879422,NA
"WP_004297788.1",0.0842731634186243,-1.45636793577554,3.91791662020312,-0.371719992269779,0.710101338275912,NA
"WP_004297790.1",27.899619166879,-1.19868647944004,0.917156136278378,-1.30696010420216,0.191226261412227,0.500888317641248
"WP_004299989.1",36.6707716949706,-0.271393687752391,0.773567280637819,-0.350833979855795,0.725712903277415,0.897847122972467
"WP_004301986.1",56.58284510058,-2.5058620114058,0.717310278106075,-3.49341433949902,0.000476885952844992,0.0131575105275423
"WP_004304952.1",0,NA,NA,NA,NA,NA
"WP_004305537.1",35.7875985881618,1.33326502618025,0.930475784471729,1.43288524906342,0.151890633448215,0.446089175260817
"WP_004309783.1",26.2927020346593,0.920538142832749,0.960748536493214,0.958146807272551,0.33798873547588,0.668364072814761
"WP_004310894.1",480.902883347584,2.36270083964251,0.802167343584673,2.94539644194966,0.00322541098892331,0.0495588586435301
"WP_004311259.1",4.12643563829222,2.474613360931,1.33998672557054,1.84674468314406,0.0647841524034394,NA
"WP_004311261.1",0.466551604998047,-0.613141333698532,2.69609314841475,-0.227418453275269,0.820098372538324,NA
"WP_004311262.1",0.0484497794014164,-1.65097203862854,3.92016405320805,-0.42114871118148,0.67364649364665,NA
"WP_004311265.1",60.1425543619006,3.6479833966352,1.0644237710897,3.42719083857042,0.000609860308687339,0.015916804633038
"WP_004311273.1",91.9151514044564,2.30342067663328,0.958011133261256,2.40437777460058,0.0162000225147234,0.127203192227196
"WP_004311292.1",3.7264442504869,-0.937617624509579,1.5802986075138,-0.593316744096029,0.552969195048969,NA
"WP_004311295.1",18.7542971208266,1.08288917666523,0.940357600320453,1.15157167475033,0.249497126520925,0.576850100184454
"WP_004311297.1",25.956468612576,-0.313038051548132,0.850824699319393,-0.36792308897302,0.712930583456581,0.890241336324877
"WP_004312956.1",26.2665338648628,4.02944213334713,1.08892095427856,3.700399113007,0.00021526064653429,0.00809883237675114
